trackId,app_key,appName,sellerName,has_gb,gb_total,gb_iphone,gb_ipad,gb_appletv,path_gb,has_jp,jp_total,jp_iphone,jp_ipad,jp_appletv,path_jp,has_both,countries_with_screenshots
1501112518,コノトキ,KONOTOKI :Ovulation prediction,amane factory inc.,True,7,7,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/gb/1501112518,True,9,9,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/jp/1501112518,True,gb;jp
1505033077,ケアミー,生理・PMSの共有アプリ ケアミー,Health & Rights Inc.,True,8,8,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/gb/1505033077,True,8,8,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/jp/1505033077,True,gb;jp
1522679787,生理トラッカ,"Period tracker, calendar",Marina Berezina,True,5,5,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/gb/1522679787,True,5,5,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/jp/1522679787,True,gb;jp
1529565125,Ovia,Femometer - Fertility Tracker,Femometer UK Limited,True,17,10,7,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/gb/1529565125,False,0,0,0,0,,False,gb
1565472349,4MOON,生理管理アプリ 4MOON -  生理周期や排卵日の予測に,4MEEE INC.,False,0,0,0,0,,True,9,9,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/jp/1565472349,False,jp
1605464028,コウノトリ,Moonly - Track Period & Cycle,FLORA K.K.,True,9,9,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/gb/1605464028,True,9,9,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/jp/1605464028,True,gb;jp
1608870986,MeetYou,MeetYou - Period Tracker,"Hangzhou Youzijie Information Technology Co., Ltd.",True,8,8,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/gb/1608870986,True,8,8,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/jp/1608870986,True,gb;jp
1616619721,Apricity TTC,Apricity TTC App,Apricity,True,5,5,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/gb/1616619721,True,5,5,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/jp/1616619721,True,gb;jp
1634354131,生理カレンダー,体温記録カレンダー,Tomohiro Sasaki,True,5,5,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/gb/1634354131,True,5,5,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/jp/1634354131,True,gb;jp
6447674634,Period Tracker,"Lively ~ Period Tracker, Cycle","Lively Cycle, LLC",True,9,9,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/gb/6447674634,True,9,9,0,0,/Users/nano/Dropbox/ttc/out_collect/screenshots/jp/6447674634,True,gb;jp
